Locus_ID,Description,GO
Os02g0710800,Similar to ATP binding / ATP-dependent DNA helicase/ ATP-dependent helicase/ helicase/ nucleic acid binding.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)"
Os02g0710900,Heat shock protein Hsp70 family protein.,Molecular Function: ATP binding (GO:0005524)
Os02g0711000,Conserved hypothetical protein.,
Os02g0711100,Pentatricopeptide repeat domain containing protein.,
Os02g0711200,Anion-transporting ATPase family protein.,"Biological Process: detoxification of arsenic-containing substance (GO:0071722), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887)"
Os02g0711900,Similar to groundhog protein 7.,
Os02g0712400,Similar to H0721B11.1 protein.,
Os02g0712500,Protein of unknown function DUF23 family protein.,
Os02g0712600,Concanavalin A-like lectin/glucanase domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: binding (GO:0005488), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os02g0712700,Concanavalin A-like lectin/glucanase domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: binding (GO:0005488), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os02g0713700,Protein of unknown function DUF296 domain containing protein.,
Os02g0714000 ,"Similar to Yarrowia lipolytica chromosome C of strain CLIB99 of Yarrowia lipolytica., Hypothetical gene. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), "
Os02g0714100,Diacylglycerol acyltransferase family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring acyl groups (GO:0016746), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"
Os02g0714200,"Similar to Pyrophosphate--fructose 6-phosphate 1-phosphotransferase alpha subunit (EC 2.7.1.90) (PFP) (6-phosphofructokinase, pyrophosphate dependent) (Pyrophosphate-dependent 6-phosphofructose-1-kinase) (PPi-PFK).","Biological Process: glycolysis (GO:0006096), Cellular Component: 6-phosphofructokinase complex (GO:0005945), Molecular Function: 6-phosphofructokinase activity (GO:0003872), Molecular Function: ATP binding (GO:0005524), Molecular Function: diphosphate-fructose-6-phosphate 1-phosphotransferase activity (GO:0047334)"
Os02g0714300,AT-rich interaction region domain containing protein.,"Cellular Component: intracellular (GO:0005622), Molecular Function: DNA binding (GO:0003677)"
Os02g0714600 ,Ribose-phosphate pyrophosphokinase 4 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthetase 4). ,"Biological Process: nucleoside metabolic process (GO:0009116), Biological Process: nucleotide biosynthetic process (GO:0009165), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: ribose phosphate diphosphokinase activity (GO:0004749)"
Os02g0714700,Hypothetical protein.,
Os02g0715200 ,"NAD(P)-binding domain containing protein., Similar to 3-beta hydroxysteroid dehydrogenase/isomerase family protein. ","Biological Process: steroid biosynthetic process (GO:0006694), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: 3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), "
Os02g0715300 ,Conserved hypothetical protein. ,
Os02g0715400,Conserved hypothetical protein.,
Os02g0716100,Hypothetical conserved gene.,
Os02g0716500 ,"Delta12-fatty acid desaturase, Hypothetical protein., Similar to Delta-12 fatty acid desaturase. ","Biological Process: lipid metabolic process (GO:0006629), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water (GO:0016717), , Biological Process: lipid metabolic process (GO:0006629)"
Os02g0716600,Non-protein coding transcript.,
Os02g0716800,"TGF-beta receptor, type I/II extracellular region family protein.","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)"
Os02g0717100,Esterase/lipase/thioesterase domain containing protein.,
Os02g0717400,Tetratricopeptide-like helical domain containing protein.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
Os02g0717500,Similar to X7 (Fragment).,
Os02g0717600,Similar to predicted protein.,
Os02g0717800,Similar to 60S ribosomal protein l31 (Fragment).,
Os02g0717900,MSF1 domain containing protein.,
Os02g0718000,Conserved hypothetical protein.,
Os02g0718600,Conserved hypothetical protein.,
Os02g0718900 ,"ADP, ATP carrier protein, mitochondrial precursor (ADP/ATP translocase) (Adenine nucleotide translocator) (ANT). ","Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: mitochondrial inner membrane (GO:0005743), Molecular Function: transporter activity (GO:0005215), Molecular Function: binding (GO:0005488)"
Os02g0719100,Similar to Fimbrin/plastin-like (Fragment).,"Molecular Function: actin binding (GO:0003779), Molecular Function: protein binding (GO:0005515)"
Os02g0719600,SAM dependent carboxyl methyltransferase family protein.,Molecular Function: methyltransferase activity (GO:0008168)
Os02g0720000,Conserved hypothetical protein.,
Os02g0720300,"Protein-tyrosine phosphatase, dual specificity domain containing protein.","Biological Process: protein dephosphorylation (GO:0006470), Biological Process: dephosphorylation (GO:0016311), Molecular Function: protein tyrosine phosphatase activity (GO:0004725), Molecular Function: protein tyrosine/serine/threonine phosphatase activity (GO:0008138), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: phosphatase activity (GO:0016791), Molecular Function: metal ion binding (GO:0046872)"
Os02g0720450,Hypothetical protein.,
Os02g0720500,Peptidase A1 domain containing protein.,"Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190)"
Os02g0720600,Peptidase A1 domain containing protein.,"Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190)"
Os02g0720700,Similar to Chloride channel protein CLC-f (AtCLC-f). Splice isoform 2.,"Biological Process: chloride transport (GO:0006821), Biological Process: metabolic process (GO:0008152), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: ion channel activity (GO:0005216), Molecular Function: voltage-gated chloride channel activity (GO:0005247), Molecular Function: protein binding (GO:0005515)"
Os02g0720900 ,"Peptidase A1 domain containing protein., Hypothetical protein., Similar to Aspartic proteinase nepenthesin-1. ","Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190), "
Os02g0721700 ,Similar to Gpi-anchored protein (Fragment). ,
Os02g0721800,Similar to Phosphatidylinositol transfer-like protein IV.,
Os02g0722700,Similar to Nucleic acid binding protein.,Molecular Function: RNA binding (GO:0003723)
Os02g0723400 ,"Similar to Isoform 2 of Auxin-responsive protein IAA8., AUX/IAA protein family protein. ",", Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: protein dimerization activity (GO:0046983)"
Os02g0724000,"CONSTANS-like protein, Heading promotion under long-day condition","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), Cellular Component: intracellular (GO:0005622)"
Os02g0724300 ,Non-protein coding transcript. ,
Os02g0724500,Similar to transporter-related.,
Os02g0725000,Similar to Protein kinase G11A (EC 2.7.1.-) (Fragment).,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os02g0725100,Thioredoxin fold domain containing protein.,
Os02g0725200 ,"SET domain containing protein., Similar to Ribulose-1, 5-bisphosphate carboxylase/oxygenase small subunit N-methyltransferase I. ","Cellular Component: chloroplast (GO:0009507), Molecular Function: protein binding (GO:0005515), Molecular Function: ribulose-bisphosphate carboxylase-lysine N-methyltransferase activity (GO:0030785), Molecular Function: protein binding (GO:0005515)"
Os02g0725300 ,"Cellulose synthase family protein., Similar to cDNA clone:J033042D19, full insert sequence. ","Biological Process: cellulose biosynthetic process (GO:0030244), Cellular Component: membrane (GO:0016020), Molecular Function: cellulose synthase (UDP-forming) activity (GO:0016760), "
Os02g0725600,"tRNA (guanine-N1-)-methyltransferase, eukaryotic domain containing protein.",
Os02g0726300 ,Similar to AOBP (Ascorbate oxidase promoter-binding protein). ,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0726400 ,"BSD domain containing protein., Similar to BSD domain containing protein. ",
Os02g0726500,"Protein of unknown function DUF246, plant domain containing protein.",
Os02g0726600,Similar to tic20 protein-related.,
Os02g0727300 ,"Similar to Beta-catenin repeat family protein., Similar to ubiquitin-protein ligase. ","Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
Os02g0727700,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0727966,Conserved hypothetical protein.,
Os02g0728100 ,"Similar to SPPA; serine-type endopeptidase., Peptidase S49 domain containing protein. ","Biological Process: proteolysis (GO:0006508), Molecular Function: peptidase activity (GO:0008233), Biological Process: signal peptide processing (GO:0006465), Biological Process: proteolysis (GO:0006508), Cellular Component: integral to membrane (GO:0016021), Molecular Function: peptidase activity (GO:0008233)"
Os02g0728500,Similar to BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1.,Molecular Function: protein binding (GO:0005515)
Os02g0728600,Similar to H/ACA ribonucleoprotein complex subunit 2.,"Cellular Component: nucleolus (GO:0005730), Molecular Function: RNA binding (GO:0003723)"
Os02g0728700,Ribosomal RNA-processing protein 7 domain containing protein.,
Os02g0729300,"Zinc finger, CCHC retroviral-type domain containing protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
Os02g0729350,Hypothetical conserved gene.,
Os02g0729700 ,Similar to HAHB-7 (Fragment). ,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: transcription regulatory region sequence-specific DNA binding (GO:0000976), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515), Molecular Function: sequence-specific DNA binding (GO:0043565)"
