Locus_ID,Description,GO,,
Os03g0144700,Similar to Histone H2A.,"Biological Process: nucleosome assembly (GO:0006334), Cellular Component: nucleosome (GO:0000786), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677)",,
Os03g0144800,Similar to Xyloglucan galactosyltransferase KATAMARI 1 (EC 2.4.1.-) (MURUS3 protein).,Cellular Component: membrane (GO:0016020),,
Os03g0145500,DENN domain containing protein.,,,
Os03g0145700 ,"Hypothetical conserved gene., Conserved hypothetical protein. ",,,
Os03g0145900,"Similar to CHY zinc finger family protein, expressed.",Molecular Function: zinc ion binding (GO:0008270),,
Os03g0146000,Similar to RAB1X.,"Biological Process: GTP catabolic process (GO:0006184), Biological Process: intracellular protein transport (GO:0006886), Biological Process: nucleocytoplasmic transport (GO:0006913), Biological Process: signal transduction (GO:0007165), Biological Process: small GTPase mediated signal transduction (GO:0007264), Biological Process: protein transport (GO:0015031), Cellular Component: intracellular (GO:0005622), Cellular Component: membrane (GO:0016020), Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525)",,
Os03g0146200,Conserved hypothetical protein.,,,
Os03g0146300,Similar to Cyclin-dependent kinases regulatory subunit.,"Biological Process: cell cycle (GO:0007049), Molecular Function: cyclin-dependent protein kinase regulator activity (GO:0016538)",,
Os03g0146400 ,"Pheophorbide a oxygenase, Leaf senescence, Wound responses, Similar to Lethal leaf-spot 1 (Fragment). ","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: chlorophyllide a oxygenase overall activity (GO:0010277), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: 2 iron, 2 sulfur cluster binding (GO:0051537)",,
Os03g0146500 ,"Similar to (RAP Annotation release2) Galactose-binding like domain containing protein., Galactose-binding like domain containing protein. ",,,
Os03g0147400 ,"Divalent ion symporter domain containing protein., Similar to cDNA clone:J023091E03, full insert sequence. ","Biological Process: citrate transport (GO:0015746), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: citrate transmembrane transporter activity (GO:0015137)",,
Os03g0148000,Protein of unknown function DUF677 family protein.,,,
Os03g0148400,Protein of unknown function DUF740 family protein.,,,
Os03g0149000,Similar to LOB domain protein 31.,,,
Os03g0149200,HR-like lesion-inducer family protein.,,,
Os03g0149300,"Protein of unknown function DUF6, transmembrane domain containing protein.",Cellular Component: membrane (GO:0016020),,
Os03g0149400,Tetratricopeptide-like helical domain containing protein.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",,
Os03g0149800,Similar to RING-H2 finger protein ATL1D.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os03g0150600 ,"Pi transporter, Pi homeostasis, Similar to Isoform 2 of Inorganic phosphate transporter 1-1. ","Biological Process: phosphate ion transport (GO:0006817), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: inorganic phosphate transmembrane transporter activity (GO:0005315), Molecular Function: transmembrane transporter activity (GO:0022857)",,
Os03g0150800,"Pi transporter, Pi homeostasis, Selenite uptake","Biological Process: phosphate ion transport (GO:0006817), Biological Process: transmembrane transport (GO:0055085), Molecular Function: inorganic phosphate transmembrane transporter activity (GO:0005315), Molecular Function: transmembrane transporter activity (GO:0022857), Cellular Component: integral component of membrane (GO:0016021)",,
Os03g0151600 ,"Acyl-CoA N-acyltransferase domain containing protein., Similar to N-acetyltransferase. ","Biological Process: metabolic process (GO:0008152), Molecular Function: N-acetyltransferase activity (GO:0008080)",,
Os03g0151700 ,"Similar to WD repeat protein (Fragment)., Hypothetical conserved gene. ",Molecular Function: protein binding (GO:0005515),,
Os03g0151800 ,"Similar to Cell division control protein 48 homolog A (AtCDC48a)., Hypothetical conserved gene. ",", Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: hydrolase activity (GO:0016787), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)",,
Os03g0152100,Similar to E2F-DP transcription factor.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: transcription factor complex (GO:0005667), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)",,
Os03g0152200,Non-protein coding transcript.,,,
Os03g0152400,Similar to 4-coumarate--CoA ligase-like 1.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,
Os03g0152600,Conserved hypothetical protein.,,,
Os03g0152900,Similar to predicted protein.,"Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)",,
Os03g0154100,Aromatic-ring hydroxylase family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os03g0154700,Similar to 40S ribosomal protein S9.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: small ribosomal subunit (GO:0015935), Molecular Function: RNA binding (GO:0003723), Molecular Function: structural constituent of ribosome (GO:0003735), Molecular Function: rRNA binding (GO:0019843)",,
Os03g0155300,Similar to Alpha-expansin precursor.,"Biological Process: plant-type cell wall organization (GO:0009664), Cellular Component: extracellular region (GO:0005576)",,
Os03g0156700,"Nickel/cobalt transporter, high-affinity domain containing protein.","Biological Process: metal ion transport (GO:0030001), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: metal ion binding (GO:0046872)",,
Os03g0157300 ,"Ca2+-permeable mechanosensitive channel, Regulation of plasma membrane Ca2+ influx, ROS generation induced by hypo-osmotic stress, Protein of unknown function Cys-rich family protein. ",,,
Os03g0157400 ,"ABC transporter-like domain containing protein., Similar to white-brown-complex ABC transporter family. ","Cellular Component: membrane (GO:0016020), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Cellular Component: membrane (GO:0016020), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887)",,
Os03g0157800 ,"Hypothetical conserved gene., Helicase and RNase D C-terminal, HRDC domain containing protein., Non-protein coding transcript. ","""Biological Process: nucleobase-containing compound metabolic process (GO:0006139), Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: 3-5 exonuclease activity (GO:0008408)\n"", ""Biological Process: nucleobase-containing compound metabolic process (GO:0006139), Biological Process: cellular metabolic process (GO:0044237), Cellular Component: intracellular (GO:0005622), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: catalytic activity (GO:0003824), Molecular Function: 3-5 exonuclease activity (GO:0008408)\n"", ",,
Os03g0157900,"Phosphoserine aminotransferase, chloroplast precursor (EC 2.6.1.52) (PSAT).","Biological Process: L-serine biosynthetic process (GO:0006564), Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: O-phospho-L-serine:2-oxoglutarate aminotransferase activity (GO:0004648), Molecular Function: pyridoxal phosphate binding (GO:0030170)",,
Os03g0158200,"DEAD-like helicase, N-terminal domain containing protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",,
Os03g0158300,Glycoside hydrolase-type carbohydrate-binding domain containing protein.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: carbohydrate binding (GO:0030246)",,
Os03g0158500 ,"YT521-B-like protein family protein., Similar to YT521-B-like family protein, expressed. ",,,
Os03g0158600,Hypothetical conserved gene.,Molecular Function: nucleic acid binding (GO:0003676),,
Os03g0158700 ,"Similar to PA domain containing protein, expressed., Similar to P69C protein. ","Biological Process: proteolysis (GO:0006508), Biological Process: negative regulation of catalytic activity (GO:0043086), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: identical protein binding (GO:0042802), Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type endopeptidase activity (GO:0004252)",,
Os03g0158900,Similar to Pentatricopeptide (PPR) repeat-containing protein.,,,
Os03g0159100,"Similar to Protein kinase APK1B, chloroplast precursor (EC 2.7.1.-).","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os03g0159150,Hypothetical protein.,,,
Os03g0159400,"Protein of unknown function DUF623, plant domain containing protein.",,,
Os03g0159900 ,Hypothetical conserved gene. ,,,
Os03g0160000,Conserved hypothetical protein.,,,
Os03g0160100,"Mitogen-activated protein kinase kinase kinase (MAPKKK), Disease resistance, Defense/stress response","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524)",,
Os03g0160400,Similar to ACL098Cp.,,,
Os03g0160900,Conserved hypothetical protein.,,,
Os03g0161100,"Similar to Viral A-type inclusion protein repeat containing protein, expressed.",,,
Os03g0161400,"Similar to IQ calmodulin-binding motif family protein, expressed.",Molecular Function: protein binding (GO:0005515),,
Os03g0161500,EGF domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os03g0161600,Similar to EPIDERMAL PATTERNING FACTOR-like protein 4.,,,
Os03g0161800 ,"Similar to SIPL., Similar to 1, 2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2. ","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: acireductone dioxygenase iron(II)-requiring activity (GO:0010309)",,
Os03g0161950,Hypothetical conserved gene.,,,
Os03g0162000,"Flavin-containing monooxygenase (FMO), Auxin biosynthesis","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: flavin-containing monooxygenase activity (GO:0004499), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: flavin adenine dinucleotide binding (GO:0050660), Molecular Function: NADP binding (GO:0050661)",,
Os03g0162200,Similar to Histone H2A.,"Biological Process: nucleosome assembly (GO:0006334), Cellular Component: nucleosome (GO:0000786), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677)",,
Os03g0163000,Hypothetical conserved gene.,,,
Os03g0163100,Protein of unknown function DUF1012 family protein.,Molecular Function: nucleotide binding (GO:0000166),,
Os03g0163200,"Protein of unknown function DUF247, plant family protein.",,,
Os03g0163500 ,Exocyst complex subunit Sec15-like family protein. ,"Biological Process: vesicle docking involved in exocytosis (GO:0006904), Cellular Component: exocyst (GO:0000145)",,
Os03g0164100 ,Hypothetical protein. ,,,
Os03g0164300,Conserved hypothetical protein.,,,
Os03g0164400,Hypothetical conserved gene.,Molecular Function: zinc ion binding (GO:0008270),,
